n,gameOver,head,score,visionUp,visionRight,visionDown,visionLeft,directionChoice
3,1,"[6, 9]",0,1.0,1.0,0.0,0.0,1
0,0,"[7, 5]",0,1.0,0.0,0.0,0.0,1
1,0,"[7, 6]",0,0.0,0.0,0.0,1.0,0
2,0,"[6, 6]",0,0.0,0.0,1.0,0.0,1
3,0,"[6, 7]",0,0.0,0.0,0.0,1.0,2
4,0,"[7, 7]",0,1.0,0.0,0.0,0.0,2
5,0,"[8, 7]",0,1.0,0.0,0.0,0.0,1
6,0,"[8, 8]",0,0.0,0.0,0.0,1.0,3
7,0,"[8, 9]",0,0.0,1.0,0.0,1.0,2
8,1,"[9, 9]",0,1.0,1.0,1.0,0.0,2
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,1
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,0
2,0,"[4, 8]",0,0.0,0.0,1.0,0.0,1
3,1,"[4, 9]",0,0.0,1.0,0.0,1.0,1
0,0,"[5, 7]",0,0.0,0.0,0.0,1.0,3
1,0,"[5, 8]",0,0.0,0.0,0.0,1.0,2
2,0,"[6, 8]",0,1.0,0.0,0.0,0.0,3
3,0,"[6, 7]",0,0.0,1.0,0.0,0.0,0
4,0,"[5, 7]",0,0.0,0.0,1.0,0.0,2
5,0,"[4, 7]",0,0.0,0.0,1.0,0.0,3
